"Region","Country","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Latin America and the Caribbean","Jamaica","5.46","5.31","5.26","5.41","5.16","5.62","5.63","5.35","5.66"
"SDG: Latin America and the Caribbean","Mexico","5.23","4.91","4.52","4.25","","4.63","","",""
"SDG: Latin America and the Caribbean","Montserrat","6.24","6.54","6.38","8.88","8.96","6.62","6.56","7.61",""
"SDG: Latin America and the Caribbean","Nicaragua","4.08","4.08","4.36","4.47","4.60","4.58","4.09","",""
"SDG: Latin America and the Caribbean","Panama","3.03","3.08","2.98","2.91","3.09","3.62","3.27","3.89",""
"SDG: Latin America and the Caribbean","Paraguay","3.33","3.43","3.09","3.30","3.49","3.94","3.41","3.41",""
"SDG: Latin America and the Caribbean","Peru","3.97","3.81","3.93","3.71","3.82","4.25","3.97","3.89",""
"SDG: Latin America and the Caribbean","Saint Kitts and Nevis","2.55","3.12","3.16","3.03","2.99","3.10","2.78","3.63",""
"SDG: Latin America and the Caribbean","Saint Lucia","3.88","5.21","3.63","3.34","3.28","3.62","","4.20",""
"SDG: Latin America and the Caribbean","Saint Vincent and the Grenadines","4.96","5.45","5.38","5.22","","5.46","","",""
"SDG: Latin America and the Caribbean","Suriname","5.52","5.64","5.46","4.92","","5.32","3.81","",""
"SDG: Latin America and the Caribbean","Trinidad and Tobago","4.45","4.17","3.53","3.64","3.54","4.21","3.01","2.88",""
"SDG: Latin America and the Caribbean","Turks and Caicos Islands","3.09","2.98","2.78","2.74","2.51","2.92","3.26","3.29",""
"SDG: Latin America and the Caribbean","Uruguay","4.21","4.36","4.42","4.61","4.64","4.54","4.41","4.37",""
"SDG: Northern Africa and Western Asia","Algeria","7.96","7.34","6.40","6.33","6.04","7.04","6.30","",""
"SDG: Northern Africa and Western Asia","Armenia","2.81","2.76","2.71","2.26","2.57","2.71","2.77","2.49",""
"SDG: Northern Africa and Western Asia","Azerbaijan","2.95","2.90","2.47","2.46","3.18","4.33","3.70","2.90",""
"SDG: Northern Africa and Western Asia","Bahrain","2.67","3.26","2.32","2.81","2.38","2.55","2.22","1.99",""
"SDG: Northern Africa and Western Asia","Cyprus","6.30","6.12","5.70","5.03","5.21","5.69","5.48","",""
"SDG: Northern Africa and Western Asia","Egypt","3.93","","","","","","","",""
