"Region","Country","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Latin America and the Caribbean","Cayman Islands","","","","","","","","","2.16","2.06","","","",""
"SDG: Latin America and the Caribbean","Chile","4.19","4.06","","4.55","4.75","4.90","5.37","5.43","5.47","5.62","5.63","4.04","",""
"SDG: Latin America and the Caribbean","Colombia","4.83","4.47","4.37","4.88","4.63","4.47","4.48","4.54","4.45","4.51","5.27","3.92","",""
"SDG: Latin America and the Caribbean","Costa Rica","6.57","6.38","6.58","6.69","6.68","6.87","6.89","7.07","6.77","6.74","6.63","6.28","",""
"SDG: Latin America and the Caribbean","Cuba","12.84","","11.55","10.67","9.61","8.96","9.01","","","9.05","","9.39","",""
"SDG: Latin America and the Caribbean","Curaçao","","","6.29","5.11","","7.36","7.23","","6.81","6.63","7.91","7.32","",""
"SDG: Latin America and the Caribbean","Dominica","","","4.53","4.35","4.33","3.41","4.81","5.21","4.84","5.53","4.70","5.19","4.66",""
"SDG: Latin America and the Caribbean","Dominican Republic","","","","3.63","3.62","3.60","3.85","3.92","3.92","4.04","4.52","3.75","3.94",""
"SDG: Latin America and the Caribbean","Ecuador","4.51","4.73","4.64","5.00","5.26","5.00","4.36","4.61","4.62","4.23","4.11","3.69","3.65",""
"SDG: Latin America and the Caribbean","El Salvador","4.05","3.90","3.71","3.80","3.82","3.91","3.83","3.73","3.61","3.39","3.66","3.53","4.53",""
"SDG: Latin America and the Caribbean","Grenada","5.08","5.49","5.07","","4.48","4.24","","3.17","3.56","","","4.09","3.94",""
"SDG: Latin America and the Caribbean","Guatemala","2.85","2.97","3.01","2.89","2.99","3.03","2.94","2.95","3.13","3.19","3.30","3.11","3.23",""
"SDG: Latin America and the Caribbean","Guyana","2.41","2.51","2.24","","4.36","3.90","4.74","4.66","4.45","","","","",""
"SDG: Latin America and the Caribbean","Haiti","","","","","1.75","1.85","1.39","1.50","1.64","1.76","1.37","1.24","1.03",""
"SDG: Latin America and the Caribbean","Honduras","","","6.30","5.87","7.09","6.41","6.31","5.74","6.06","5.93","5.98","5.81","4.44",""
"SDG: Latin America and the Caribbean","Jamaica","6.37","6.27","6.11","6.25","6.02","5.46","5.31","5.26","5.41","5.16","5.62","5.63","5.35","5.66"
"SDG: Latin America and the Caribbean","Mexico","5.16","5.11","5.10","4.70","5.26","5.23","4.91","4.52","4.25","","4.63","","",""
"SDG: Latin America and the Caribbean","Montserrat","","6.97","5.78","5.30","5.40","6.24","6.54","6.38","8.88","8.96","6.62","6.56","7.61",""
"SDG: Latin America and the Caribbean","Nicaragua","4.48","","","","4.08","4.08","4.08","4.36","4.47","4.60","4.58","4.09","",""
"SDG: Latin America and the Caribbean","Panama","","3.16","","","2.82","3.03","3.08","2.98","2.91","3.09","3.62","3.27","3.89",""
"SDG: Latin America and the Caribbean","Paraguay","2.77","3.69","3.67","2.68","2.60","3.33","3.43","3.09","3.30","3.49","3.94","3.41","3.41",""
"SDG: Latin America and the Caribbean","Peru","2.87","2.66","2.92","3.30","3.70","3.97","3.81","3.93","3.71","3.82","4.25","3.97","3.89",""
"SDG: Latin America and the Caribbean","Puerto Rico","","","","6.48","6.07","","","","","","","","",""
"SDG: Latin America and the Caribbean","Saint Kitts and Nevis","2.94","2.75","3.18","2.82","2.83","2.55","3.12","3.16","3.03","2.99","3.10","2.78","3.63",""
"SDG: Latin America and the Caribbean","Saint Lucia","3.48","3.60","3.29","3.88","3.89","3.88","5.21","3.63","3.34","3.28","3.62","","4.20",""
"SDG: Latin America and the Caribbean","Saint Vincent and the Grenadines","4.81","","","","","4.96","5.45","5.38","5.22","","5.46","","",""
"SDG: Latin America and the Caribbean","Suriname","","","","","","5.52","5.64","5.46","4.92","","5.32","3.81","",""
"SDG: Latin America and the Caribbean","Trinidad and Tobago","4.21","3.85","3.68","3.77","3.62","4.45","4.17","3.53","3.64","3.54","4.21","3.01","2.88",""
"SDG: Latin America and the Caribbean","Turks and Caicos Islands","","3.36","2.70","2.94","2.94","3.09","2.98","2.78","2.74","2.51","2.92","3.26","3.29",""
"SDG: Latin America and the Caribbean","Uruguay","","4.15","4.09","4.24","4.27","4.21","4.36","4.42","4.61","4.64","4.54","4.41","4.37",""
"SDG: Northern Africa and Western Asia","Algeria","","","7.64","7.29","7.32","7.96","7.34","6.40","6.33","6.04","7.04","6.30","",""
"SDG: Northern Africa and Western Asia","Armenia","3.25","3.14","2.77","2.65","2.25","2.81","2.76","2.71","2.26","2.57","2.71","2.77","2.49",""
"SDG: Northern Africa and Western Asia","Azerbaijan","2.78","2.44","2.07","2.44","2.63","2.95","2.90","2.47","2.46","3.18","4.33","3.70","2.90",""
"SDG: Northern Africa and Western Asia","Bahrain","","","2.65","2.48","2.47","2.67","3.26","2.32","2.81","2.38","2.55","2.22","1.99",""
"SDG: Northern Africa and Western Asia","Cyprus","6.53","6.52","5.90","6.47","6.42","6.30","6.12","5.70","5.03","5.21","5.69","5.48","",""
"SDG: Northern Africa and Western Asia","Egypt","3.54","3.34","3.37","4.12","4.25","3.93","","","","","","","",""
"SDG: Northern Africa and Western Asia","Georgia","2.80","2.58","1.91","3.47","3.00","3.17","3.59","3.57","3.52","3.87","3.85","3.64","3.81",""
"SDG: Northern Africa and Western Asia","Israel","5.43","5.46","5.59","5.78","5.70","5.80","5.80","6.01","6.06","6.06","6.46","6.60","6.46",""
"SDG: Northern Africa and Western Asia","Jordan","","","","","","","3.45","3.21","2.95","2.99","","3.22","3.24",""
"SDG: Northern Africa and Western Asia","Lebanon","1.61","1.65","2.15","2.43","","","2.13","2.14","2.53","2.60","1.67","","",""
"SDG: Northern Africa and Western Asia","Morocco","","","5.55","","5.48","5.13","5.08","4.74","4.96","5.00","6.29","5.60","5.77",""
"SDG: Northern Africa and Western Asia","Oman","","","","4.35","","","","6.00","4.59","5.06","6.88","","4.20",""
"SDG: Northern Africa and Western Asia","Palestine","6.19","5.34","4.74","4.89","","4.66","4.98","4.72","","","","5.43","",""
"SDG: Northern Africa and Western Asia","Qatar","4.54","4.01","3.51","4.07","3.61","","","2.97","","2.80","3.23","","",""
"SDG: Northern Africa and Western Asia","Tunisia","5.96","","5.95","","","6.22","","","","","","","",""
"SDG: Northern Africa and Western Asia","Türkiye","3.79","4.22","4.39","4.34","4.41","4.32","4.63","4.32","4.30","4.45","4.01","2.85","2.62",""
"SDG: Northern Africa and Western Asia","United Arab Emirates","","","","","","","","","","3.86","3.98","3.90","",""
"SDG: Northern Africa and Western Asia","Yemen","4.39","5.04","5.46","","","","","","","","","","",""
"SDG: Oceania","Australia","5.54","5.07","4.87","5.23","5.16","5.32","5.29","5.14","5.12","5.13","5.61","5.73","5.21",""
"SDG: Oceania","Cook Islands","","3.27","2.97","2.99","4.10","3.86","4.36","2.92","4.02","3.50","3.66","4.59","4.50",""
"SDG: Oceania","Fiji","","4.17","4.46","3.88","3.77","4.81","4.84","4.88","5.04","5.12","5.75","5.97","",""
"SDG: Oceania","Kiribati","","13.04","13.43","13.22","12.95","12.11","13.48","13.57","15.38","13.77","","14.20","16.58",""
"SDG: Oceania","Marshall Islands","","","","","","","","","","9.92","","","6.98",""
"SDG: Oceania","Micronesia (Federated States of)","","","11.72","12.34","12.23","13.65","13.51","12.42","9.70","10.23","10.54","","",""
"SDG: Oceania","Nauru","","","","","5.74","6.71","6.67","6.79","5.89","6.22","6.48","6.52","8.33","6.19"
"SDG: Oceania","New Zealand","6.60","6.55","6.53","5.89","6.07","5.71","5.51","5.28","5.19","5.17","5.65","5.54","5.51",""
"SDG: Oceania","Papua New Guinea","","","","","","","","1.96","1.87","","","","",""
"SDG: Oceania","Samoa","","","","4.62","5.22","4.62","4.35","3.96","4.26","4.40","4.48","","",""
"SDG: Oceania","Solomon Islands","7.48","","","","","","","","","","","","",""
"SDG: Oceania","Tonga","","","","","","","","5.06","4.97","5.27","4.86","4.93","5.65",""
"SDG: Oceania","Vanuatu","","","","","5.18","5.60","","4.53","","1.77","2.17","","",""
"SDG: Sub-Saharan Africa","Angola","3.42","3.24","3.08","3.87","2.93","3.10","2.75","2.47","2.04","2.07","2.75","2.30","2.33",""
"SDG: Sub-Saharan Africa","Benin","3.68","4.40","3.56","3.33","3.16","3.17","2.90","3.54","2.93","3.00","2.94","3.19","3.21",""
"SDG: Sub-Saharan Africa","Botswana","","","9.26","8.02","8.22","8.39","8.74","7.81","7.91","8.40","8.06","","",""
"SDG: Sub-Saharan Africa","Burkina Faso","3.50","3.99","3.60","4.08","4.05","3.67","","5.63","5.49","5.41","5.15","5.22","5.28",""
"SDG: Sub-Saharan Africa","Burundi","6.78","6.32","6.17","6.00","6.78","6.37","4.69","4.76","5.08","5.35","5.32","4.87","4.82",""
"SDG: Sub-Saharan Africa","Cabo Verde","5.08","4.60","5.40","4.56","4.52","4.81","4.75","4.59","4.79","4.14","","6.04","",""
"SDG: Sub-Saharan Africa","Cameroon","2.85","2.65","2.60","2.66","2.58","2.66","2.56","3.06","3.03","3.05","3.10","2.83","2.62",""
"SDG: Sub-Saharan Africa","Central African Republic","1.12","1.11","1.98","2.64","2.22","1.91","1.75","1.75","1.57","1.77","2.15","1.87","2.12",""
"SDG: Sub-Saharan Africa","Chad","1.98","2.26","2.21","2.85","2.32","2.34","2.39","2.45","2.26","2.37","2.74","2.89","2.54",""
"SDG: Sub-Saharan Africa","Comoros","","2.83","2.75","2.38","2.74","2.55","","","","","2.38","2.27","2.43",""
"SDG: Sub-Saharan Africa","Congo","5.69","2.65","2.74","5.01","3.18","3.28","","4.45","3.00","3.56","4.62","3.67","2.95",""
